adapté,adaptés,adaptée,adaptées
addictif,addictifs,addictive,addictives
additif,additifs,additive,additives
additionnable,additionnables,additionnable,additionnables
additionnel,additionnels,additionnelle,additionnelles
additionné,additionnés,additionnée,additionnées
additivé,additivés,additivée,additivées
adducteur,adducteurs,adductrice,adductrices
adextré,adextrés,adextrée,adextrées
adhérent,adhérents,adhérente,adhérentes
adhésif,adhésifs,adhésive,adhésives
adiabatique,adiabatiques,adiabatique,adiabatiques
adiaphoriste,adiaphoristes,adiaphoriste,adiaphoristes
adiaphorétique,adiaphorétiques,adiaphorétique,adiaphorétiques
adimensionnel,adimensionnels,adimensionnelle,adimensionnelles
adimensionné,adimensionnés,adimensionnée,adimensionnées
adipeux,adipeux,adipeuse,adipeuses
adipique,adipiques,adipique,adipiques
adipokinétique,adipokinétiques,adipokinétique,adipokinétiques
adiré,adirés,adirée,adirées
adjacent,adjacents,adjacente,adjacentes
adjectif,adjectifs,adjective,adjectives
adjectival,adjectivaux,adjectivale,adjectivales
adjectivé,adjectivés,adjectivée,adjectivées
adjoint,adjoints,adjointe,adjointes
adjudicatif,adjudicatifs,adjudicative,adjudicatives
adjugé,adjugés,adjugée,adjugées
adjuvant,adjuvants,adjuvante,adjuvantes
adlérien,adlériens,adlérienne,adlériennes
administrable,administrables,administrable,administrables
administratif,administratifs,administrative,administratives
administré,administrés,administrée,administrées
admirable,admirables,admirable,admirables
admirant,admirants,admirante,admirantes
admirateur,admirateurs,admiratrice,admiratrices
admiratif,admiratifs,admirative,admiratives
admissible,admissibles,admissible,admissibles
adnominal,adnominaux,adnominale,adnominales
adné,adnés,adnée,adnées
adogmatique,adogmatiques,adogmatique,adogmatiques
adolescent,adolescents,adolescente,adolescentes
adonien,adoniens,adonienne,adoniennes
adonique,adoniques,adonique,adoniques
adoptable,adoptables,adoptable,adoptables
adoptant,adoptants,adoptante,adoptantes
adoptianiste,adoptianistes,adoptianiste,adoptianistes
adoptif,adoptifs,adoptive,adoptives
adopté,adoptés,adoptée,adoptées
adorable,adorables,adorable,adorables
adoral,adoraux,adorale,adorales
adorant,adorants,adorante,adorantes
adossé,adossés,adossée,adossées
adouci,adoucis,adoucie,adoucies
adoucissant,adoucissants,adoucissante,adoucissantes
,,adragante,adragantes
adressable,adressables,adressable,adressables
adressé,adressés,adressée,adressées
adriatique,adriatiques,adriatique,adriatiques
adroit,adroits,adroite,adroites
adrénalinique,adrénaliniques,adrénalinique,adrénaliniques
adrénergique,adrénergiques,adrénergique,adrénergiques
adrénolytique,adrénolytiques,adrénolytique,adrénolytiques
adscrit,adscrits,adscrite,adscrites
adsorbable,adsorbables,adsorbable,adsorbables
adsorbant,adsorbants,adsorbante,adsorbantes
adulaire,adulaires,adulaire,adulaires
adulateur,adulateurs,adulatrice,adulatrices
adulte,adultes,adulte,adultes
adultère,adultères,adultère,adultères
adultérin,adultérins,adultérine,adultérines
adventice,adventices,adventice,adventices
adventif,adventifs,adventive,adventives
adventiste,adventistes,adventiste,adventistes
adverbal,adverbaux,adverbale,adverbales
adverbial,adverbiaux,adverbiale,adverbiales
adverbialisateur,adverbialisateurs,adverbialisatrice,adverbialisatrices
adversatif,adversatifs,adversative,adversatives
adverse,adverses,adverse,adverses
adversif,adversifs,adversive,adversives
adynamique,adynamiques,adynamique,adynamiques
adénomateux,adénomateux,adénomateuse,adénomateuses
adénoviral,adénoviraux,adénovirale,adénovirales
adénoïde,adénoïdes,adénoïde,adénoïdes
adénoïdien,adénoïdiens,adénoïdienne,adénoïdiennes
adénylique,adényliques,adénylique,adényliques
adéphage,adéphages,adéphage,adéphages
adéquat,adéquats,adéquate,adéquates
aegyrinique,aegyriniques,aegyrinique,aegyriniques
aethésiogène,aethésiogènes,aethésiogène,aethésiogènes
afar,afars,afar,afars
affable,affables,affable,affables
affabulateur,affabulateurs,affabulatrice,affabulatrices
affadissant,affadissants,affadissante,affadissantes
