asphalté;asphaltés;asphaltée;asphaltées
asphyxié;asphyxiés;asphyxiée;asphyxiées
aspiré;aspirés;aspirée;aspirées
assagi;assagis;assagie;assagies
assailli;assaillis;assaillie;assaillies
assaini;assainis;assainie;assainies
assaisonné;assaisonnés;assaisonnée;assaisonnées
assassiné;assassinés;assassinée;assassinées
assemblé;assemblés;assemblée;assemblées
assené;assenés;assenée;assenées
assenti;assentis;assentie;assenties
assis;;assise;assises
assermenté;assermentés;assermentée;assermentées
asservi;asservis;asservie;asservies
assibilé;assibilés;assibilée;assibilées
assigné;assignés;assignée;assignées
assimilé;assimilés;assimilée;assimilées
assisté;assistés;assistée;assistées
assiégé;assiégés;assiégée;assiégées
associé;associés;associée;associées
assoiffé;assoiffés;assoiffée;assoiffées
assolé;assolés;assolée;assolées
assombri;assombris;assombrie;assombries
assommé;assommés;assommée;assommées
assonancé;assonancés;assonancée;assonancées
assoné;assonés;assonée;assonées
assorti;assortis;assortie;assorties
assoté;assotés;assotée;assotées
assoti;assotis;assotie;assoties
assoupi;assoupis;assoupie;assoupies
assoupli;assouplis;assouplie;assouplies
assourdi;assourdis;assourdie;assourdies
assouvi;assouvis;assouvie;assouvies
assujetti;assujettis;assujettie;assujetties
assumé;assumés;assumée;assumées
assuré;assurés;assurée;assurées
asséché;asséchés;asséchée;asséchées
asticoté;asticotés;asticotée;asticotées
astiqué;astiqués;astiquée;astiquées
astreint;astreints;astreinte;astreintes
astrologisé;astrologisés;astrologisée;astrologisées
atermoyé;atermoyés;atermoyée;atermoyées
athéisé;athéisés;athéisée;athéisées
atigé;atigés;atigée;atigées
atinté;atintés;atintée;atintées
atomisé;atomisés;atomisée;atomisées
atourné;atournés;atournée;atournées
atrophié;atrophiés;atrophiée;atrophiées
attablé;attablés;attablée;attablées
attaché;attachés;attachée;attachées
attaqué;attaqués;attaquée;attaquées
attardé;attardés;attardée;attardées
atteint;atteints;atteinte;atteintes
attelé;attelés;attelée;attelées
attendu;attendus;attendue;attendues
attendri;attendris;attendrie;attendries
attenu;attenus;attenue;attenues
attenté;attentés;attentée;attentées
attentionné;attentionnés;attentionnée;attentionnées
atterré;atterrés;atterrée;atterrées
