MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
acorus;;;
acosmisme;acosmismes;;
acota;acotas;;
acotylédon;acotylédons;acotylédone;acotylédones
acotylédonie;acotylédonies;;
acotylédonée;acotylédonées;;
acouchi;acouchis;;
acoumètre;acoumètres;;
acoumétrie;acoumétries;;
acousmate;acousmates;;
acousmatique;acousmatiques;;
acousticien;acousticiens;acousticienne;acousticienne
acoustique;acoustiques;;
acquiescement;acquiescements;;
acquiescence;acquiescences;;
acquis;;;
acquisition;acquisitions;;
acquisivité;acquisivités;;
acquit;acquits;;
acquittement;acquittements;;
acquitté;acquittés;acquittée;acquittées
acquéresse;acquéresses;;
acquéreur;acquéreurs;acquéreuse;acquéreuse
acquêt;acquêts;;
acre;acres;;
acret;acrets;;
acrididé;acrididés;acrididée;acrididées
acridien;acridiens;acridienne;acridiennes
acridine;acridines;;
acridophage;acridophages;;
acridé;acridés;acridée;acridées
acrimonie;acrimonies;;
acrisie;acrisies;;
acrobate;acrobates;;
acrobatie;acrobaties;;
acrobatisme;acrobatismes;;
acrobustite;acrobustites;;
acrocarpe;acrocarpes;;
acrochirisme;acrochirismes;;
acrochiriste;acrochiristes;;
acrochorde;acrochordes;;
acrochordon;acrochordons;;
acrocyanose;acrocyanoses;;
acrocéphalie;acrocéphalies;;
acrocéraunien;acrocérauniens;;
acrodonte;acrodontes;;
acrogne;acrognes;;
acrogène;acrogènes;;
acroléine;acroléines;;
acromion;acromions;;
acromyrmex;;;
acromégale;acromégales;;
acromégalie;acromégalies;;
acromégalique;acromégaliques;;
acrophonie;acrophonies;;
acropole;acropoles;;
acropolis;;;
acrose;acroses;;
acrosome;acrosomes;;
acrosone;acrosones;;
acrostiche;acrostiches;;
acrotère;acrotères;;
acrotériasme;acrotériasmes;;
acrylate;acrylates;;
acrylique;acryliques;;
acrylonitrile;acrylonitriles;;
actaea;actaeas;;
actant;actants;;
acte;actes;;
acteur;acteurs;actrice;actrices
acteureau;acteureaux;;
acticité;acticités;;
actien;actiens;actienne;actiennes
actif;actifs;active;actives
actine;actines;;
actinelle;actinelles;;
actiniaire;actiniaires;;
actinie;actinies;;
actinisme;actinismes;;
actinium;actiniums;;
actinomètre;actinomètres;;
actinométrie;actinométries;;
actinote;actinotes;;
actinée;actinées;;
action;actions;;
actioniste;actionistes;;
actionnaire;actionnaires;;
actionnariat;actionnariats;;
actionnement;actionnements;;
activateur;activateurs;;
activation;activations;;
activeur;activeurs;;
activisme;activismes;;
activiste;activistes;;
activité;activités;;
actricisme;actricismes;;
actuaire;actuaires;;
actualisateur;actualisateurs;;
actualisation;actualisations;;
actualisme;actualismes;;
actualité;actualités;;
actuariole;actuarioles;;
actuation;actuations;;
actuel;actuels;actuelle;actuelles
actée;actées;;
actéon;actéons;;
actéonelle;actéonelles;;
acuité;acuités;;
acumen;acumens;;
acumination;acuminations;;
acumètre;acumètres;;
acuponcture;acuponctures;;
acuponctureur;acuponctureurs;;
acupuncteur;acupuncteurs;acupunctrice;acupunctrice
acut;acuts;;
acutesse;acutesses;;
