MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
affichant;affichants;affichante;affichantes
affiché;affichés;affichée;affichées
affidé;affidés;affidée;affidées
affilé;affilés;affilée;affilées
affin;affins;affine;affines
affinal;affinaux;affinale;affinales
affinant;affinants;affinante;affinantes
affineur;affineurs;affineuse;affineuses
affinitaire;affinitaires;;affinés
affiné;affinés;affinée;affinées
affirmable;affirmables;;affirmants
affirmant;affirmants;affirmante;affirmantes
affirmateur;affirmateurs;affirmatrice;affirmatrices
affirmatif;affirmatifs;affirmative;affirmatives
affirmé;affirmés;affirmée;affirmées
affistolé;affistolées;affistolé;affistolés
affité;affités;affitée;affitées
affixal;affixaux;affixale;affixales
affleurant;affleurants;affleurante;affleurantes
afflictif;afflictifs;afflictive;afflictives
affligeable;affligeables;;affligeants
affligeant;affligeants;affligeante;affligeantes
affligé;affligés;affligée;affligées
affluent;affluents;affluente;affluentes
afflé;afflés;afflée;afflées
affolant;affolants;affolante;affolantes
affolé;affolés;affolée;affolées
affondré;affondrées;affondré;affondrés
affondé;affondées;affondé;affondés
affouager;affouagers;affouagère;affouagères
affouillable;affouillables;;affoulés
affoulé;affoulés;affoulée;affoulées
affourché;affourchés;affourchée;affourchées
affouré;affourés;affourée;affourées
affranchi;affranchis;affranchie;affranchies
affranchissant;affranchissants;affranchissante;affranchissantes
affreux;affreuse;affreuses;
affriandant;affriandants;affriandante;affriandantes
affriandeur;affriandeurs;affriandeuse;affriandeuses
affriandé;affriandés;affriandée;affriandées
affriolant;affriolants;affriolante;affriolantes
affriquée;affriquées;;affrontables
affrontable;affrontables;;affronteurs
affronteur;affronteurs;affronteuse;affronteuses
affronté;affrontés;affrontée;affrontées
afférent;afférents;afférente;afférentes
afférocé;afférocés;afférocée;afférocées
affété;affétés;affétée;affétées
affûté;affûtés;affûtée;affûtées
afghan;afghans;afghane;afghanes
afilmique;afilmiques;;afistolées
afistolé;afistolées;afistolé;afistolés
africain;africains;africaine;africaines
africanophobe;africanophobes;;afrikanders
afrikander;afrikanders;;agaciers
agacier;agaciers;agacière;agacières
agacinant;agacinants;agacinante;agacinantes
agacé;agacés;agacée;agacées
agadique;agadiques;;agaillardis
agaillardi;agaillardis;agaillardie;agaillardies
agame;agames;;agamides
agamide;agamides;;agamiens
agamien;agamiens;agamienne;agamiennes
agamoïde;agamoïdes;;aganippides
aganippide;aganippides;;agaricicoles
agaricicole;agaricicoles;;agariciformes
agariciforme;agariciformes;;agaricins
agaricin;agaricins;agaricine;agaricines
agariciné;agaricinés;agaricinée;agaricinées
agaricoïde;agaricoïdes;;agaricés
agaricé;agaricés;agaricée;agaricées
